Date	Commit	CMF	CML	CMVL	CSF	CSL	CSVL	CBF	CBL	CBVL
2016/11/17	1cf5b87	0	0	0	2	9	0	0	0	0
2016/11/17	e34e178	1	24	10	3	485	6	1	3	1
2016/11/17	c70cc4d	0	0	0	1	2	0	0	0	0
2016/11/16	d899318	1	3	3	2	89	2	1	1	1
2016/11/16	dab15e2	0	0	0	1	2	0	0	0	0
2016/11/16	4ae0540	0	0	0	1	7	0	0	0	0
2016/11/16	24f5164	0	0	0	1	7	0	0	0	0
2016/11/16	b7d44df	1	2	2	2	19	0	0	0	0
2016/11/16	37d15c6	0	0	0	1	5	0	0	0	0
2016/11/16	28726d1	0	0	0	0	0	0	1	6	0
2016/11/16	3883701	0	0	0	1	44	0	0	0	0
2016/11/16	af8ae93	0	0	0	2	16	0	0	0	0
2016/11/16	1fc6bb9	0	0	0	3	20	0	0	0	0
2016/11/16	6444b52	0	0	0	1	112	0	0	0	0
2016/11/15	0530b29	0	0	0	1	19	0	0	0	0
2016/11/15	a2f1d18	0	0	0	3	9	0	0	0	0
2016/11/15	8e930c1	0	0	0	2	4	0	0	0	0
2016/11/15	2813952	0	0	0	1	4	0	0	0	0
2016/11/15	17f3c0f	0	0	0	1	4	0	0	0	0
2016/11/15	50f1b1a	0	0	0	1	2	0	0	0	0
2016/11/15	d4d265e	0	0	0	1	6	0	0	0	0
2016/11/15	825b801	0	0	0	1	2	0	0	0	0
2016/11/15	c63ee26	0	0	0	2	6	0	0	0	0
2016/11/15	9f1f1e0	0	0	0	1	19	0	0	0	0
2016/11/15	eeaf9e4	0	0	0	1	42	0	0	0	0
2016/11/14	bce8bb6	0	0	0	1	39	0	0	0	0
2016/11/14	626eea2	0	0	0	3	10	0	0	0	0
2016/11/14	941e27b	0	0	0	1	43	0	0	0	0
2016/11/14	b36cb07	0	0	0	1	4	0	0	0	0
2016/11/14	289ee8f	0	0	0	1	64	0	0	0	0
2016/11/14	c446704	1	4	3	0	0	0	0	0	0
2016/11/14	3e0a3fb	1	14	8	1	82	0	1	10	2
2016/11/14	f924aee	1	2	2	0	0	0	0	0	0
