Date	Commit	CMF	CML	CMVL	CSF	CSL	CSVL	CBF	CBL	CBVL
2011/07/18	90e33f6	0	0	0	2	22	0	0	0	0
2011/07/18	07f1c29	0	0	0	55	592	75	0	0	0
2011/07/18	e28f871	0	0	0	3	79	0	0	0	0
2011/07/18	3a5c374	0	0	0	3	13	0	0	0	0
2011/07/18	e1703b32	0	0	0	1	4	0	0	0	0
2011/07/18	05a9348	0	0	0	1	2	0	0	0	0
2011/07/18	8016934	0	0	0	1	2	0	0	0	0
2011/07/18	91ab3fc	0	0	0	2	53	0	0	0	0
2011/07/18	9e158e3	0	0	0	1	18	0	0	0	0
2011/07/18	19a3833	0	0	0	1	2	0	0	0	0
2011/07/18	66240a6	0	0	0	1	4	0	0	0	0
2011/07/18	950975a	0	0	0	1	3	0	0	0	0
2011/07/18	7cf131c	0	0	0	1	3	0	0	0	0
2011/07/18	38f71aa	0	0	0	1	2	0	0	0	0
2011/07/18	dffbb44	0	0	0	1	4	0	0	0	0
2011/07/18	e8885cb	0	0	0	1	2	0	0	0	0
2011/07/18	f701e5b	0	0	0	3	55	0	0	0	0
2011/07/18	fb89fcf	0	0	0	2	7	0	0	0	0
2011/07/18	fded1ef	0	0	0	2	3	0	0	0	0
2011/07/18	e9107ab	0	0	0	4	13	8	0	0	0
2011/07/18	00e9125	0	0	0	6	19	12	0	0	0
2011/07/18	805e88d	0	0	0	2	7	4	0	0	0
2011/07/18	7553ee7	0	0	0	13	52	34	0	0	0
2011/07/18	5065c71	0	0	0	3	9	0	0	0	0
2011/07/18	f68deab	0	0	0	13	20	0	0	0	0
2011/07/18	4fddcae	0	0	0	2	10	4	0	0	0
2011/07/18	8c400f6	0	0	0	1	1	0	0	0	0
2011/07/18	6503201	0	0	0	2	34	4	0	0	0
2011/07/18	e800bd0	0	0	0	1	26	0	0	0	0
2011/07/18	4356d0b	0	0	0	1	5	0	0	0	0
2011/07/18	2df4f75	0	0	0	1	14	0	0	0	0
2011/07/18	9b89925	0	0	0	2	4	0	0	0	0
2011/07/18	ac0cae4	0	0	0	1	1	0	0	0	0
